==29306== NVPROF is profiling process 29306, command: ./backprop 65536
==29306== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==29306== Profiling application: ./backprop 65536
==29306== Profiling result:
==29306== Event result:
"Device","Kernel","Invocations","Event Name","Min","Max","Avg"
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_read_sector_misses",36332,36332,36332
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_read_sector_misses",36360,36360,36360
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_read_sector_misses",36348,36348,36348
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_read_sector_misses",36332,36332,36332
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_write_l1_sector_queries",49074,49074,49074
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_write_l1_sector_queries",49158,49158,49158
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_write_l1_sector_queries",49223,49223,49223
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_write_l1_sector_queries",49153,49153,49153
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_read_l1_sector_queries",51122,51122,51122
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_read_l1_sector_queries",51207,51207,51207
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_read_l1_sector_queries",51270,51270,51270
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_read_l1_sector_queries",51201,51201,51201
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_read_l1_hit_sectors",14792,14792,14792
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_read_l1_hit_sectors",14887,14887,14887
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_read_l1_hit_sectors",14954,14954,14954
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_read_l1_hit_sectors",14865,14865,14865
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp0_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp1_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp2_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp3_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp0_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp1_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp2_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp3_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp0_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp1_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp2_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp3_gld_warp_count_64b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp0_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp1_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp2_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_subp3_gld_warp_count_128b",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_read_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_write_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_write_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_write_sysmem_sector_queries",1,1,1
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_write_sysmem_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_total_read_sector_queries",51225,51225,51225
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_total_read_sector_queries",51250,51250,51250
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_total_read_sector_queries",51275,51275,51275
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_total_read_sector_queries",51206,51206,51206
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp0_total_write_sector_queries",49079,49079,49079
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp1_total_write_sector_queries",49163,49163,49163
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp2_total_write_sector_queries",49223,49223,49223
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l2_subp3_total_write_sector_queries",49154,49154,49154
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"elapsed_cycles_sm",1578423,1578423,1578423
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_inst_8bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_inst_16bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_inst_32bit",1114112,1114112,1114112
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_inst_64bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_inst_128bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_inst_8bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_inst_16bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_inst_32bit",1114112,1114112,1114112
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_inst_64bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_inst_128bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_gld_inst_8bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_gld_inst_16bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_gld_inst_32bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_gld_inst_64bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"rocache_gld_inst_128bit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_00",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_01",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_02",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_03",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_04",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_05",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_06",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"prof_trigger_07",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"atom_cas_count",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"warps_launched",32768,32768,32768
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"threads_launched",1048576,1048576,1048576
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"inst_executed",4161536,4161536,4161536
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"inst_issued1",3251694,3251694,3251694
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"inst_issued2",557056,557056,557056
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"thread_inst_executed",133169152,133169152,133169152
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_load",393216,393216,393216
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_store",229376,229376,229376
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_load",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_store",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gld_request",65536,65536,65536
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gst_request",65536,65536,65536
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"active_cycles",1517628,1517628,1517628
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"active_warps",91717232,91717232,91717232
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"sm_cta_launched",4096,4096,4096
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"not_predicated_off_thread_inst_executed",85983232,85983232,85983232
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_local_load_hit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_local_load_miss",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_local_store_hit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_local_store_miss",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_global_load_hit",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_global_load_miss",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"uncached_global_load_transaction",100352,100352,100352
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"global_store_transaction",98304,98304,98304
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_load_replay",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"shared_store_replay",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"global_ld_mem_divergence_replays",34816,34816,34816
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"global_st_mem_divergence_replays",32768,32768,32768
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_load_transactions",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"local_store_transactions",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_shared_load_transactions",393216,393216,393216
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"l1_shared_store_transactions",229401,229401,229401
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"__l1_global_load_transactions",100365,100365,100365
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"__l1_global_store_transactions",98304,98304,98304
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"atom_count",0,0,0
"Tesla K40c (0)","bpnn_layerforward_CUDA(float*, float*, float*, float*, int, int)",1,"gred_count",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex0_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex1_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex2_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex3_cache_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex0_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex1_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex2_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"tex3_cache_sector_misses",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"fb_subp0_read_sectors",142809,142809,142809
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"fb_subp1_read_sectors",142901,142901,142901
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"fb_subp0_write_sectors",148448,148448,148448
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"fb_subp1_write_sectors",148317,148317,148317
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_write_sector_misses",74748,74748,74748
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_write_sector_misses",73575,73575,73575
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_write_sector_misses",74399,74399,74399
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_write_sector_misses",74039,74039,74039
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_sector_misses",71469,71469,71469
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_sector_misses",71400,71400,71400
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_sector_misses",71380,71380,71380
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_sector_misses",71397,71397,71397
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_write_l1_sector_queries",81843,81843,81843
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_write_l1_sector_queries",81967,81967,81967
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_write_l1_sector_queries",82003,82003,82003
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_write_l1_sector_queries",81873,81873,81873
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_l1_sector_queries",143281,143281,143281
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_l1_sector_queries",143450,143450,143450
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_l1_sector_queries",143453,143453,143453
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_l1_sector_queries",339879,339879,339879
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_l1_hit_sectors",71890,71890,71890
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_l1_hit_sectors",72094,72094,72094
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_l1_hit_sectors",72089,72089,72089
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_l1_hit_sectors",268518,268518,268518
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_tex_sector_queries",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp0_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp1_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp2_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"l2_subp3_read_tex_hit_sectors",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp0_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp1_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp2_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp3_gld_thread_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp0_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp1_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp2_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp3_gld_thread_count_64b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp0_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp1_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp2_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp3_gld_thread_count_128b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp0_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp1_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp2_gld_warp_count_32b",0,0,0
"Tesla K40c (0)","bpnn_adjust_weights_cuda(float*, int, float*, int, float*, float*)",1,"rocache_subp3_gld_warp_count_32b",0,0,0
